code,name,sector
1332.T,ニッスイ,水産・農林業
1605.T,INPEX,鉱業
1721.T,コムシスHD,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工,建設業
1812.T,鹿島,建設業
1925.T,大和ハウス,建設業
1928.T,積水ハウス,建設業
1963.T,日揮HD,建設業
2002.T,日清粉G,食料品
2269.T,明治HD,食料品
2282.T,日本ハム,食料品
2413.T,エムスリー,サービス業
2432.T,DeNA,情報・通信業
2501.T,サッポロHD,食料品
2502.T,アサヒ,食料品
2503.T,キリンHD,食料品
2768.T,双日,卸売業
2801.T,キッコーマン,食料品
2802.T,味の素,食料品
2871.T,ニチレイ,食料品
2914.T,JT,食料品
3086.T,Jフロント,小売業
3092.T,ZOZO,小売業
3099.T,ミツコシイセタン,小売業
3289.T,東急不HD,不動産業
3382.T,7&I-HD,小売業
3401.T,帝人,繊維製品
3402.T,東レ,繊維製品
3405.T,クラレ,化学
3407.T,旭化成,化学
3436.T,SUMCO,金属製品
3659.T,ネクソン,情報・通信業
3697.T,SHIFT,情報・通信業
3861.T,王子HD,パルプ・紙
4004.T,レゾナックHD,化学
4005.T,住友化学,化学
4021.T,日産化学,化学
4042.T,東ソー,化学
4043.T,トクヤマ,化学
4061.T,デンカ,化学
4062.T,イビデン,電気機器
4063.T,信越化学,化学
4151.T,協和キリン,医薬品
4183.T,三井化学,化学
4188.T,三菱ケミG,化学
4208.T,UBE,化学
4307.T,NRI,情報・通信業
4324.T,電通G,サービス業
4385.T,メルカリ,情報・通信業
4452.T,花王,化学
4502.T,武田薬品,医薬品
4503.T,アステラス製薬,医薬品
4506.T,住友ファーマ,医薬品
4507.T,塩野義製薬,医薬品
4519.T,中外製薬,医薬品
4523.T,エーザイ,医薬品
4543.T,テルモ,精密機器
4568.T,第一三共,医薬品
4578.T,大塚HD,医薬品
4661.T,OLC,サービス業
4689.T,LINEヤフー,情報・通信業
4704.T,トレンドマイクロ,情報・通信業
4751.T,サイバーエージェント,サービス業
4755.T,楽天G,サービス業
4901.T,富士フイルム,化学
4902.T,コニカミノルタ,電気機器
4911.T,資生堂,化学
5019.T,出光興産,石油石炭製品
5020.T,ENEOS,石油石炭製品
5101.T,浜ゴム,ゴム製品
5108.T,ブリヂストン,ゴム製品
5201.T,AGC,ガラス土石製品
5214.T,日本電気硝子,ガラス土石製品
5233.T,太平洋セメント,ガラス土石製品
5301.T,東海カーボン,ガラス土石製品
5332.T,TOTO,ガラス土石製品
5333.T,日本ガイシ,ガラス土石製品
5401.T,日本製鉄,鉄鋼
5406.T,神戸製鋼所,鉄鋼
5411.T,JFE,鉄鋼
5631.T,日本製鋼所,機械
5706.T,三井金属,非鉄金属
5711.T,三菱マテリアル,非鉄金属
5713.T,住友金属鉱山,非鉄金属
5714.T,DOWA,非鉄金属
5801.T,古河電気工業,非鉄金属
5802.T,住友電気工業,非鉄金属
5803.T,フジクラ,非鉄金属
5831.T,しずおかFG,銀行業
6098.T,リクルートHD,サービス業
6103.T,オークマ,機械
6113.T,アマダ,機械
6146.T,ディスコ,機械
6178.T,日本郵政,サービス業
6273.T,SMC,機械
6301.T,コマツ,機械
6302.T,住友重機械,機械
6305.T,日立建機,機械
6326.T,クボタ,機械
6361.T,荏原製作所,機械
6367.T,ダイキン工業,機械
6471.T,日本精工,機械
6472.T,NTN,機械
6473.T,ジェイテクト,機械
6479.T,ミネベアミツミ,電気機器
6501.T,日立製作所,電気機器
6503.T,三菱電機,電気機器
6504.T,富士電機,電気機器
6506.T,安川電機,電気機器
6526.T,ソシオネクスト,電気機器
6532.T,ベイカレント,サービス業
6645.T,オムロン,電気機器
6674.T,GSユアサ,電気機器
6701.T,NEC,電気機器
6702.T,富士通,電気機器
6723.T,ルネサスエレクトロニクス,電気機器
6724.T,セイコーエプソン,電気機器
6752.T,パナソニックHD,電気機器
6753.T,シャープ,電気機器
6758.T,ソニーG,電気機器
6762.T,TDK,電気機器
6770.T,アルプスアルパイン,電気機器
6841.T,横河電機,電気機器
6857.T,アドバンテスト,電気機器
6861.T,キーエンス,電気機器
6902.T,デンソー,輸送用機器
6920.T,レーザーテック,電気機器
6952.T,カシオ計算機,電気機器
6954.T,ファナック,電気機器
6963.T,ローム,電気機器
6971.T,京セラ,電気機器
6976.T,太陽誘電,電気機器
6981.T,村田製作所,電気機器
6988.T,日東電工,化学
7004.T,カナデビア,機械
7011.T,三菱重工業,機械
7012.T,川崎重工業,輸送用機器
7013.T,IHI,機械
7186.T,横浜FG,銀行業
7201.T,日産自動車,輸送用機器
7202.T,いすゞ自動車,輸送用機器
7203.T,トヨタ自動車,輸送用機器
7205.T,日野自動車,輸送用機器
7211.T,三菱自動車,輸送用機器
7261.T,マツダ,輸送用機器
7267.T,ホンダ,輸送用機器
7269.T,スズキ,輸送用機器
7270.T,SUBARU,輸送用機器
7272.T,ヤマハ発動機,輸送用機器
7453.T,良品計画,小売業
7731.T,ニコン,精密機器
7733.T,オリンパス,精密機器
7735.T,スクリーンHD,電気機器
7741.T,HOYA,精密機器
7751.T,キヤノン,電気機器
7752.T,リコー,電気機器
7832.T,バンダイナムコHD,その他製品
7911.T,TOPPAN HD,その他製品
7912.T,大日本印刷,その他製品
7951.T,ヤマハ,その他製品
7974.T,任天堂,その他製品
8001.T,伊藤忠商事,卸売業
8002.T,丸紅,卸売業
8015.T,豊田通商,卸売業
8031.T,三井物産,卸売業
8035.T,東京エレクトロン,電気機器
8053.T,住友商事,卸売業
8058.T,三菱商事,卸売業
8233.T,高島屋,小売業
8252.T,丸井G,小売業
8253.T,クレディセゾン,その他金融業
8267.T,イオン,小売業
8304.T,あおぞら銀行,銀行業
8306.T,三菱UFJ FG,銀行業
8308.T,りそなHD,銀行業
8309.T,三井住友トラスト,銀行業
8316.T,三井住友FG,銀行業
8331.T,千葉銀行,銀行業
8354.T,ふくおかFG,銀行業
8411.T,みずほFG,銀行業
8591.T,オリックス,その他金融業
8601.T,大和証券G,証券商品先物
8604.T,野村HD,証券商品先物
8630.T,SOMPO HD,保険業
8697.T,JPX,その他金融業
8725.T,MS&AD,保険業
8750.T,第一生命HD,保険業
8766.T,東京海上HD,保険業
8795.T,T&D HD,保険業
8801.T,三井不動産,不動産業
8802.T,三菱地所,不動産業
8804.T,東京建物,不動産業
8830.T,住友不動産,不動産業
9001.T,東武鉄道,陸運業
9005.T,東急,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9020.T,JR東日本,陸運業
9021.T,JR西日本,陸運業
9022.T,JR東海,陸運業
9064.T,ヤマトHD,陸運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9147.T,NXHD,陸運業
9201.T,JAL,空運業
9202.T,ANA HD,空運業
9432.T,NTT,情報・通信業
9433.T,KDDI,情報・通信業
9434.T,ソフトバンク,情報・通信業
9501.T,東京電力HD,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9531.T,東京ガス,電気・ガス業
9532.T,大阪ガス,電気・ガス業
9602.T,東宝,情報・通信業
9735.T,セコム,サービス業
9766.T,コナミG,情報・通信業
9843.T,ニトリHD,小売業
9983.T,ファーストリテイリング,小売業
9984.T,ソフトバンクG,情報・通信業
